date,square_id,country_code,sms_in,sms_out,call_in,call_out,internet_traffic
2013-11-01,3322,380,0.2385962434586486,0.1192981217293243,0.0,0.8411654887733819,0.0
2013-11-01,3322,381,0.1192981217293243,0.0,0.0,0.0,0.0
2013-11-01,3322,593,0.2385962434586486,0.0,0.0,0.0060786366681116,0.0
2013-11-01,3322,88239,0.0,0.0,0.0,0.0,0.2305574143449792
2013-11-01,3322,359,0.0060786366681116,0.0,0.5017483005488867,0.1253767583974359,0.0
2013-11-01,3322,353,0.1314553950655475,0.1192981217293243,0.0,0.0,0.1192981217293243
2013-11-01,3322,352,0.0,0.0,0.0,0.0,0.3274655566379968
2013-11-01,3322,250,0.514146840844253,0.0,0.0,0.0,0.0
2013-11-01,3322,49,0.7498790631234533,0.2631520570902381,0.2631520570902381,0.0,4.617269166366368
2013-11-01,3322,51,0.0,0.0,0.0,0.2385962434586486,0.0
2013-11-01,3322,53,0.2570734204221265,0.0,0.0,0.0,0.0
2013-11-01,3322,55,0.6916722430349376,0.0,0.2305574143449792,0.0,0.0
2013-11-01,3322,58,0.0,0.0,0.2305574143449792,0.0,0.0
2013-11-01,3322,61,0.1192981217293243,0.0,0.0,0.0,0.0
2013-11-01,3322,63,0.8494023772184893,0.0,0.0,0.105300831422427,0.0
2013-11-01,3322,65,0.0,0.0,0.1192981217293243,0.0,0.0
2013-11-01,3322,82,0.2142460715767841,0.0,0.0,0.0,0.0
2013-11-01,3322,86,1.2651297756332558,0.0,0.105300831422427,0.5929316661895327,0.8519652790572172
2013-11-01,3322,90,0.2305574143449792,0.0060786366681116,0.4611148286899584,0.5953331685258925,0.0
2013-11-01,3322,91,0.0,0.0,0.0,0.357894365187973,0.0
2013-11-01,3322,94,0.0,0.0,0.0,0.0060786366681116,0.0
2013-11-01,3322,212,0.0,0.2305574143449792,1.27208519345422,1.1892588917335656,0.0
2013-11-01,3322,213,0.2385962434586486,0.0,0.1192981217293243,0.0,0.0
2013-11-01,3322,216,0.0,0.0,0.0,0.0,0.2081674349086724
2013-11-01,3322,221,0.0,0.0,0.0121572733362232,0.6511983386596261,0.0
2013-11-01,3322,242,0.0,0.0,0.357894365187973,0.0,0.0
2013-11-01,3322,243,0.0,0.0,0.1192981217293243,0.0,0.0
2013-11-01,3322,48,0.0,0.0,0.2570734204221265,0.0,0.0
2013-11-01,3322,46,0.0,0.0,0.0,0.0,1.7436730303743728
2013-11-01,3322,44,1.0709269054316586,0.4555178099307573,0.3763715421514508,0.2385962434586486,1.1473439398403953
2013-11-01,3322,43,0.1192981217293243,0.0,0.0,0.0,0.0
2013-11-01,3322,0,298.2086357147882,2.0673384264157946,0.7261059867414951,11.67104513737261,0.0
2013-11-01,3322,1,0.2081674349086724,0.0,0.0,0.3763715421514508,0.1192981217293243
2013-11-01,3322,7,0.0,0.0,0.3824501788195624,0.0,0.0
