datetime,sms_in,sms_out,call_in,call_out,internet_traffic
2013-11-01 00:00:00+01:00,26734.588498719586,20239.16096670315,10006.074483356364,11472.88450918214,642388.3412218541
2013-11-01 00:10:00+01:00,22397.285624147364,18320.20264715704,8708.312180658397,10175.953186668494,630005.1487208621
2013-11-01 00:20:00+01:00,19697.90122630813,17062.049976505554,7917.18758673736,9230.907120861983,619933.1825796069
2013-11-01 00:30:00+01:00,18936.405776557338,15817.01051879185,7207.441154427079,8540.273191522117,590963.0379087586
2013-11-01 00:40:00+01:00,17443.714163246386,14147.854631389619,6575.749382994218,8068.724247645593,577130.0816079442
2013-11-01 00:50:00+01:00,16924.04214879154,14268.221650942261,6016.144075107279,7317.506058825349,563293.4466912464
2013-11-01 01:00:00+01:00,15544.169230227873,13761.794383151639,5675.190329098309,6930.658458567617,543777.6833482186
2013-11-01 01:10:00+01:00,14911.613534851918,13248.923134517834,4707.000540487322,5917.260537010702,532706.0017087297
2013-11-01 01:20:00+01:00,13827.671206562078,12276.710377019946,4574.10016290144,5657.404864942637,514802.0460320407
2013-11-01 01:30:00+01:00,12214.565760376428,11889.900910270462,4301.486343707,5452.595495431727,511871.60258834844
2013-11-01 01:40:00+01:00,11641.940873382251,10950.328455343346,3818.3408685346567,5115.483529263983,504164.837860757
2013-11-01 01:50:00+01:00,10725.288428343945,10222.023541753222,3828.023710910375,5104.640789419279,480129.99976611295
2013-11-01 02:00:00+01:00,10536.058928288325,9861.441556578377,3612.8970590456656,4499.436077023601,470033.4152699208
2013-11-01 02:10:00+01:00,9576.835085526482,9308.83362786914,3628.4708249567216,4099.962689043546,463203.64407122607
2013-11-01 02:20:00+01:00,9530.38804830495,8825.212860104151,3091.172935891845,4233.067924385811,448566.82703845087
2013-11-01 02:30:00+01:00,9390.87543968271,8524.773691776667,2847.7851937987807,4018.5900545101586,439934.71619870444
2013-11-01 02:40:00+01:00,8871.898604869386,8785.669637315414,2701.9661182293626,3969.2681381458274,429164.91159142746
2013-11-01 02:50:00+01:00,8335.146048622864,8320.68939040103,2706.1002425788174,3781.2825437628935,417919.1597357361
2013-11-01 03:00:00+01:00,7888.19625121371,7948.2895284961105,2432.4656596109717,3865.326171470698,410022.13949198875
2013-11-01 03:10:00+01:00,7229.8184554102,7828.70426647261,2262.38688103533,3551.8773098975194,408882.5202040594
2013-11-01 03:20:00+01:00,6974.736535577097,7664.092159330603,2195.806464450268,3445.764174578075,393670.4750668281
2013-11-01 03:30:00+01:00,7087.178721774915,8066.901259535999,2232.5960622895755,3134.1851616807835,387083.638195358
2013-11-01 03:40:00+01:00,6683.666917446373,7489.85151117198,1932.8012718678933,2991.2838131428653,391486.86448938114
2013-11-01 03:50:00+01:00,6415.574988179574,7504.115907340652,2171.2181069836242,3163.120200482461,374927.89649311313
2013-11-01 04:00:00+01:00,5993.209007375612,7117.281854698689,2006.9018906379458,3244.1757692243823,374774.8760000439
2013-11-01 04:10:00+01:00,5542.923205787931,6873.697290283672,1818.9155728574895,2994.6714189539543,370093.9379904183
